year,player,country,club,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1983,Michel Platini,France,Juventus,706271af-7c88-401a-8188-c6f37ae9d968,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1984,Michel Platini,France,Juventus,35b09e2f-8c13-4134-90e0-16eadb263b84,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1985,Michel Platini,France,Juventus,1f356e32-3535-4a45-ad20-e666c5507d9f,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1986,Igor Belanov,Soviet Union,Dynamo Kyiv,c39d46b2-9b41-4e23-9940-27504f3e2183,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1987,Ruud Gullit,Netherlands,AC Milan,04349e42-ac99-4364-8d3e-6eead4b0306e,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1988,Marco van Basten,Netherlands,AC Milan,8d8a5dc6-6adc-4443-ab6b-65bc8d8980e3,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1989,Marco van Basten,Netherlands,AC Milan,254643fc-2ae7-41da-98f4-744997a979b7,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1990,Lothar Matthäus,Germany,Inter Milan,619083a0-1d9d-4dc3-8c3d-f53ddfabe45e,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1991,Jean-Pierre Papin,France,Marseille,827ed2ac-0d07-4392-8865-580232ef0d11,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
1992,Marco van Basten,Netherlands,AC Milan,e7ec9983-16a1-4226-bd5d-e2fb6119c79b,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
