year,host,award_type,winner,country,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
2014,Brazil,golden_glove,Manuel Neuer,Germany,0c29c593-28e8-4713-8d56-fbd9791d4758,2026-08-14T11:39:37.605553,world_cup_awards.xml,XML_WC_AWARDS,920a11d2-427d-4b6a-b1df-29a230886098
2014,Brazil,best_young_player,Paul Pogba,France,4b924d0c-778a-42b2-93d9-011d36008a54,2026-08-14T11:39:37.605553,world_cup_awards.xml,XML_WC_AWARDS,920a11d2-427d-4b6a-b1df-29a230886098
2018,Russia,golden_ball,Luka Modrić,Croatia,45f6bf7e-d718-4bc3-85d2-04188d99daae,2026-08-14T11:39:37.605553,world_cup_awards.xml,XML_WC_AWARDS,920a11d2-427d-4b6a-b1df-29a230886098
2018,Russia,golden_glove,Thibaut Courtois,Belgium,bc554088-019a-4a81-9ca6-c2ec51dd9129,2026-08-14T11:39:37.605553,world_cup_awards.xml,XML_WC_AWARDS,920a11d2-427d-4b6a-b1df-29a230886098
2018,Russia,best_young_player,Kylian Mbappé,France,41a7d9db-b248-4111-9019-e5865bae2a53,2026-08-14T11:39:37.605553,world_cup_awards.xml,XML_WC_AWARDS,920a11d2-427d-4b6a-b1df-29a230886098
2022,Qatar,golden_ball,Lionel Messi,Argentina,5d0c8e78-291e-4494-838b-144a7f862162,2026-08-14T11:39:37.605553,world_cup_awards.xml,XML_WC_AWARDS,920a11d2-427d-4b6a-b1df-29a230886098
2022,Qatar,golden_glove,Emiliano Martínez,Argentina,92eb738a-7936-4913-a54f-1de6dba3cd12,2026-08-14T11:39:37.605553,world_cup_awards.xml,XML_WC_AWARDS,920a11d2-427d-4b6a-b1df-29a230886098
2022,Qatar,best_young_player,Enzo Fernández,Argentina,5f056c7d-aea7-402d-a5f3-e8d0bcea56cb,2026-08-14T11:39:37.605553,world_cup_awards.xml,XML_WC_AWARDS,920a11d2-427d-4b6a-b1df-29a230886098
2026,USA/Canada/Mexico,golden_ball,Rodri,Spain,7c0cd793-2555-47e3-95c1-a158d32f8295,2026-08-14T11:39:37.605553,world_cup_awards.xml,XML_WC_AWARDS,920a11d2-427d-4b6a-b1df-29a230886098
2026,USA/Canada/Mexico,golden_glove,Unai Simón,Spain,c2507572-6b4a-4851-b0d7-b2c1179d08c3,2026-08-14T11:39:37.605553,world_cup_awards.xml,XML_WC_AWARDS,920a11d2-427d-4b6a-b1df-29a230886098
2026,USA/Canada/Mexico,best_young_player,Pau Cubarsí,Spain,9f8a2344-3225-414c-8891-96baf81d41de,2026-08-14T11:39:37.605553,world_cup_awards.xml,XML_WC_AWARDS,920a11d2-427d-4b6a-b1df-29a230886098
