edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,3.89,590549,Guillermo Stábile,Argentina,8,July 13,July 30,Montevideo,No,Round Robin,fcdf2d52-3ad7-42c3-bc6c-aeced0d1b286,2026-07-21T09:12:39.072674,wc_all_editions.xml,XML,manual__2026-07-21T09:12:34.325294+00:00
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,363000,Oldřich Nejedlý,Czechoslovakia,5,May 27,June 10,Rome,Yes,Knockout,9337d3e5-34f5-4f4a-b58e-5b3aa65af97c,2026-07-21T09:12:39.072674,wc_all_editions.xml,XML,manual__2026-07-21T09:12:34.325294+00:00
3,1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,375700,Leônidas,Brazil,7,June 4,June 19,Paris,Yes,Knockout,1c18cc61-af0a-4ec0-b530-7d8adb5a1649,2026-07-21T09:12:39.072674,wc_all_editions.xml,XML,manual__2026-07-21T09:12:34.325294+00:00
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,1045246,Ademir,Brazil,8,June 24,July 16,Rio de Janeiro,No,Round Robin Final,7052d70e-3a69-4d75-aaee-27ab36cca761,2026-07-21T09:12:39.072674,wc_all_editions.xml,XML,manual__2026-07-21T09:12:34.325294+00:00
5,1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,768607,Sándor Kocsis,Hungary,11,June 16,July 4,Bern,No,Knockout,454a7642-9c54-486b-a383-f2527f463230,2026-07-21T09:12:39.072674,wc_all_editions.xml,XML,manual__2026-07-21T09:12:34.325294+00:00
6,1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,819810,Just Fontaine,France,13,June 8,June 29,Stockholm,No,Knockout,eef9f5fd-39bb-48c9-848b-9baa7417ddb4,2026-07-21T09:12:39.072674,wc_all_editions.xml,XML,manual__2026-07-21T09:12:34.325294+00:00
7,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.78,893172,Florian Albert / Garrincha / Valentin Ivanov / Leonel Sánchez / Dražan Jerković / Vavá,Multiple,4,May 30,June 17,Santiago,No,Knockout,d78d7d63-3125-43e5-8ad0-9af36f46676b,2026-07-21T09:12:39.072674,wc_all_editions.xml,XML,manual__2026-07-21T09:12:34.325294+00:00
8,1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.78,1563135,Eusébio,Portugal,9,July 11,July 30,London,Yes,Knockout,b267dc6a-b304-4424-a4fa-d5c43e88d87b,2026-07-21T09:12:39.072674,wc_all_editions.xml,XML,manual__2026-07-21T09:12:34.325294+00:00
9,1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.97,1603975,Gerd Müller,West Germany,10,May 31,June 21,Mexico City,No,Knockout,cf96dad9-a1ee-40bc-bb14-fd069ae562d6,2026-07-21T09:12:39.072674,wc_all_editions.xml,XML,manual__2026-07-21T09:12:34.325294+00:00
10,1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,1865753,Grzegorz Lato,Poland,7,June 13,July 7,Munich,Yes,Knockout,ce6876bc-efd0-4679-a94b-73b92de89d71,2026-07-21T09:12:39.072674,wc_all_editions.xml,XML,manual__2026-07-21T09:12:34.325294+00:00
11,1978,Argentina,Argentina,Netherlands,Brazil,Italy,16,38,102,2.68,1545791,Mario Kempes,Argentina,6,June 1,June 25,Buenos Aires,Yes,Knockout,af0a34a6-73f3-405a-8dc1-22e350b23a13,2026-07-21T09:12:39.072674,wc_all_editions.xml,XML,manual__2026-07-21T09:12:34.325294+00:00
12,1982,Spain,Italy,West Germany,Poland,France,24,52,146,2.81,1766277,Paolo Rossi,Italy,6,June 13,July 11,Madrid,No,Knockout,e6419aad-ca54-4062-8032-739bb4d12f6c,2026-07-21T09:12:39.072674,wc_all_editions.xml,XML,manual__2026-07-21T09:12:34.325294+00:00
13,1986,Mexico,Argentina,West Germany,France,Belgium,24,52,132,2.54,2394031,Gary Lineker,England,6,May 31,June 29,Mexico City,No,Knockout,c296ce28-15f8-4807-a779-bad08cbaf52f,2026-07-21T09:12:39.072674,wc_all_editions.xml,XML,manual__2026-07-21T09:12:34.325294+00:00
14,1990,Italy,West Germany,Argentina,Italy,England,24,52,115,2.21,2516215,Salvatore Schillaci,Italy,6,June 8,July 8,Rome,No,Knockout,fbd0b495-c11e-4435-b93f-03563fd75543,2026-07-21T09:12:39.072674,wc_all_editions.xml,XML,manual__2026-07-21T09:12:34.325294+00:00
15,1994,United States,Brazil,Italy,Sweden,Bulgaria,24,52,141,2.71,3587538,Hristo Stoichkov / Oleg Salenko,Bulgaria / Russia,6,June 17,July 17,Pasadena,No,Knockout,902c898f-fde2-4c61-acfc-c7ee63633205,2026-07-21T09:12:39.072674,wc_all_editions.xml,XML,manual__2026-07-21T09:12:34.325294+00:00
16,1998,France,France,Brazil,Croatia,Netherlands,32,64,171,2.67,2785100,Davor Šuker,Croatia,6,June 10,July 12,Paris,Yes,Knockout,6cbffc05-c911-4d29-b5f4-939c34f33c09,2026-07-21T09:12:39.072674,wc_all_editions.xml,XML,manual__2026-07-21T09:12:34.325294+00:00
17,2002,South Korea / Japan,Brazil,Germany,Turkey,South Korea,32,64,161,2.52,2705197,Ronaldo,Brazil,8,May 31,June 30,Yokohama,No,Knockout,56a1fcc6-3044-449e-900c-a6e97cbdeb9b,2026-07-21T09:12:39.072674,wc_all_editions.xml,XML,manual__2026-07-21T09:12:34.325294+00:00
18,2006,Germany,Italy,France,Germany,Portugal,32,64,147,2.3,3359439,Miroslav Klose,Germany,5,June 9,July 9,Berlin,No,Knockout,55e874d8-31ab-427b-bf97-ccaaa04f2161,2026-07-21T09:12:39.072674,wc_all_editions.xml,XML,manual__2026-07-21T09:12:34.325294+00:00
