edition,year,host,champion,runner_up,third_place,fourth_place,teams,matches,goals,goals_per_match,attendance,top_scorer,top_scorer_country,top_scorer_goals,start_date,end_date,final_city,host_won,format,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Uruguay,Uruguay,Argentina,United States,Yugoslavia,13,18,70,3.89,590549,Guillermo Stábile,Argentina,8,July 13,July 30,Montevideo,No,Round Robin,7181bbab-a5fa-4c9e-af62-27fca8d46bd3,2026-08-18T07:03:02.050631,wc_all_editions.json,JSON,manual__2026-08-18T07:02:54.321103+00:00
2,1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,17,70,4.12,363000,Oldřich Nejedlý,Czechoslovakia,5,May 27,June 10,Rome,Yes,Knockout,224f52f4-cb16-4a33-8c69-871c5eef98b7,2026-08-18T07:03:02.050631,wc_all_editions.json,JSON,manual__2026-08-18T07:02:54.321103+00:00
3,1938,France,Italy,Hungary,Brazil,Sweden,15,18,84,4.67,375700,Leônidas,Brazil,7,June 4,June 19,Paris,Yes,Knockout,c73a9eda-242f-49f3-86df-6d1c3ed7827f,2026-08-18T07:03:02.050631,wc_all_editions.json,JSON,manual__2026-08-18T07:02:54.321103+00:00
4,1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,22,88,4.0,1045246,Ademir,Brazil,8,June 24,July 16,Rio de Janeiro,No,Round Robin Final,78873b3f-003c-464e-aab5-c09a3632ca3d,2026-08-18T07:03:02.050631,wc_all_editions.json,JSON,manual__2026-08-18T07:02:54.321103+00:00
5,1954,Switzerland,West Germany,Hungary,Austria,Uruguay,16,26,140,5.38,768607,Sándor Kocsis,Hungary,11,June 16,July 4,Bern,No,Knockout,a6243ae9-e1d0-49d5-b8dd-89bed3e502d6,2026-08-18T07:03:02.050631,wc_all_editions.json,JSON,manual__2026-08-18T07:02:54.321103+00:00
6,1958,Sweden,Brazil,Sweden,France,West Germany,16,35,126,3.6,819810,Just Fontaine,France,13,June 8,June 29,Stockholm,No,Knockout,9c661345-ee94-4613-98be-d8cc8d30ce52,2026-08-18T07:03:02.050631,wc_all_editions.json,JSON,manual__2026-08-18T07:02:54.321103+00:00
7,1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,32,89,2.7800000000000002,893172,Florian Albert / Garrincha / Valentin Ivanov / Leonel Sánchez / Dražan Jerković / Vavá,Multiple,4,May 30,June 17,Santiago,No,Knockout,14365fe8-bfdf-41df-8d82-6cb3edf92912,2026-08-18T07:03:02.050631,wc_all_editions.json,JSON,manual__2026-08-18T07:02:54.321103+00:00
8,1966,England,England,West Germany,Portugal,Soviet Union,16,32,89,2.7800000000000002,1563135,Eusébio,Portugal,9,July 11,July 30,London,Yes,Knockout,2fc21d83-d479-4a63-81e7-5722285f12c9,2026-08-18T07:03:02.050631,wc_all_editions.json,JSON,manual__2026-08-18T07:02:54.321103+00:00
9,1970,Mexico,Brazil,Italy,West Germany,Uruguay,16,32,95,2.9699999999999998,1603975,Gerd Müller,West Germany,10,May 31,June 21,Mexico City,No,Knockout,b96df562-48de-4e34-a946-c22de0d5a9a7,2026-08-18T07:03:02.050631,wc_all_editions.json,JSON,manual__2026-08-18T07:02:54.321103+00:00
10,1974,West Germany,West Germany,Netherlands,Poland,Brazil,16,38,97,2.55,1865753,Grzegorz Lato,Poland,7,June 13,July 7,Munich,Yes,Knockout,ce4a24a8-468c-482a-b01c-448c5d867fa4,2026-08-18T07:03:02.050631,wc_all_editions.json,JSON,manual__2026-08-18T07:02:54.321103+00:00
