year,host,award_type,winner,country,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
2014,Brazil,golden_ball,Lionel Messi,Argentina,3406f2be-5784-435c-8ca7-1f852920e677,2026-08-18T12:29:16.325863,world_cup_awards.xml,XML_WC_AWARDS,ebe3b807-d2d8-40c0-b202-60f947e7efea
2014,Brazil,golden_glove,Manuel Neuer,Germany,6ba23101-3a0c-4205-9d35-5de1875ce4cb,2026-08-18T12:29:16.325863,world_cup_awards.xml,XML_WC_AWARDS,ebe3b807-d2d8-40c0-b202-60f947e7efea
2014,Brazil,best_young_player,Paul Pogba,France,f04c94ce-a0a1-49c1-8e9f-2bd94ca105c7,2026-08-18T12:29:16.325863,world_cup_awards.xml,XML_WC_AWARDS,ebe3b807-d2d8-40c0-b202-60f947e7efea
2018,Russia,golden_ball,Luka Modrić,Croatia,e8c0a8b7-b23b-4cbb-9157-d225583fcbfb,2026-08-18T12:29:16.325863,world_cup_awards.xml,XML_WC_AWARDS,ebe3b807-d2d8-40c0-b202-60f947e7efea
2018,Russia,golden_glove,Thibaut Courtois,Belgium,c4c5ed48-eabd-4428-a5bb-c9d2429d1172,2026-08-18T12:29:16.325863,world_cup_awards.xml,XML_WC_AWARDS,ebe3b807-d2d8-40c0-b202-60f947e7efea
2018,Russia,best_young_player,Kylian Mbappé,France,539a4490-c80c-494e-bff7-68e42dd889d9,2026-08-18T12:29:16.325863,world_cup_awards.xml,XML_WC_AWARDS,ebe3b807-d2d8-40c0-b202-60f947e7efea
2022,Qatar,golden_ball,Lionel Messi,Argentina,4424ca90-15ef-4b76-ae82-e1252ba6afd4,2026-08-18T12:29:16.325863,world_cup_awards.xml,XML_WC_AWARDS,ebe3b807-d2d8-40c0-b202-60f947e7efea
2022,Qatar,golden_glove,Emiliano Martínez,Argentina,b3f8e817-f16c-4a66-b329-d54628f54af2,2026-08-18T12:29:16.325863,world_cup_awards.xml,XML_WC_AWARDS,ebe3b807-d2d8-40c0-b202-60f947e7efea
2022,Qatar,best_young_player,Enzo Fernández,Argentina,992eb751-fd89-47d7-8597-3874c47d3e85,2026-08-18T12:29:16.325863,world_cup_awards.xml,XML_WC_AWARDS,ebe3b807-d2d8-40c0-b202-60f947e7efea
2026,USA/Canada/Mexico,golden_ball,Rodri,Spain,1a3f3fb9-0004-43df-a00f-ab430788eaee,2026-08-18T12:29:16.325863,world_cup_awards.xml,XML_WC_AWARDS,ebe3b807-d2d8-40c0-b202-60f947e7efea
2026,USA/Canada/Mexico,golden_glove,Unai Simón,Spain,ea8f3868-4831-4ea7-a870-8d4568f91ec3,2026-08-18T12:29:16.325863,world_cup_awards.xml,XML_WC_AWARDS,ebe3b807-d2d8-40c0-b202-60f947e7efea
2026,USA/Canada/Mexico,best_young_player,Pau Cubarsí,Spain,5268cbe9-74cb-4f93-963a-7d0276adae99,2026-08-18T12:29:16.325863,world_cup_awards.xml,XML_WC_AWARDS,ebe3b807-d2d8-40c0-b202-60f947e7efea
