year,host,award_type,winner,country,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
2010,South Africa,best_young_player,Thomas Müller,Germany,a40524a8-0633-4510-b815-a8a0c1891139,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
2014,Brazil,golden_ball,Lionel Messi,Argentina,81a93932-0781-4ee1-9358-a354b04834f9,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
2014,Brazil,golden_glove,Manuel Neuer,Germany,c3360f6c-d76a-4104-9f58-e7cbc8e4efc4,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
2014,Brazil,best_young_player,Paul Pogba,France,1aa340a7-5ef6-436e-ba97-872aba35a3e8,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
2018,Russia,golden_ball,Luka Modrić,Croatia,5bf07eef-602f-4a57-85fd-4cb518f3f40d,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
2018,Russia,golden_glove,Thibaut Courtois,Belgium,4e6ca4df-7635-4ef9-acd5-f52f3d1d1ddd,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
2018,Russia,best_young_player,Kylian Mbappé,France,575b36cf-4746-4cd4-aafb-3324fd57b542,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
2022,Qatar,golden_ball,Lionel Messi,Argentina,5d973426-5a0c-489b-9b7c-3f99dc3a719b,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
2022,Qatar,golden_glove,Emiliano Martínez,Argentina,94d6f821-2b68-4451-8835-dd9528c07169,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
2022,Qatar,best_young_player,Enzo Fernández,Argentina,3a3a39b5-6b06-4379-8306-4ca3a80e371a,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
2026,USA/Canada/Mexico,golden_ball,Rodri,Spain,559b2bea-941f-40f3-a712-7a5e12e3f6e1,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
2026,USA/Canada/Mexico,golden_glove,Unai Simón,Spain,12665c7b-ea34-426b-aeb9-5f19c4cb96cd,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
2026,USA/Canada/Mexico,best_young_player,Pau Cubarsí,Spain,9f0ee6e6-aee6-4385-a195-cf4802d0aa38,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
