year,host,award_type,winner,country,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
2014,Brazil,golden_ball,Lionel Messi,Argentina,f9bac763-bf51-4f7c-887f-9ac94334a9b4,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
2014,Brazil,golden_glove,Manuel Neuer,Germany,61f21769-a2f5-4bed-a2d9-7e4c858d5e9e,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
2014,Brazil,best_young_player,Paul Pogba,France,432e481b-d0aa-49fb-a503-63d5c2df649a,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
2018,Russia,golden_ball,Luka Modrić,Croatia,39c6841d-0200-4c16-94ce-1639437e1722,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
2018,Russia,golden_glove,Thibaut Courtois,Belgium,601a9027-da8d-4092-954e-7f316b9ff54d,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
2018,Russia,best_young_player,Kylian Mbappé,France,4271bbc5-f8a9-4c01-a430-b8d53e864d8d,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
2022,Qatar,golden_ball,Lionel Messi,Argentina,0670cb23-e665-4b33-bfdf-a537ab0276c4,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
2022,Qatar,golden_glove,Emiliano Martínez,Argentina,cd3f9037-0f4d-480b-97e4-2f56850bc55c,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
2022,Qatar,best_young_player,Enzo Fernández,Argentina,e015512f-c322-4f0a-90d0-6b8803ab8923,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
2026,USA/Canada/Mexico,golden_ball,Rodri,Spain,7b40e144-7e81-4bd3-a4e2-22fb525b6a0e,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
2026,USA/Canada/Mexico,golden_glove,Unai Simón,Spain,c8f2a270-ef2d-4e69-b510-3286ee3d39e1,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
2026,USA/Canada/Mexico,best_young_player,Pau Cubarsí,Spain,19c39d30-e369-4c68-8d29-416ba0534ef9,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
