year,player,country,club,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1983,Michel Platini,France,Juventus,b0d12261-81bc-42ab-a9d1-18003d73a056,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1984,Michel Platini,France,Juventus,0b9810a0-aadb-4c4d-b9b2-32879e37830f,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1985,Michel Platini,France,Juventus,4eea8e66-4a7b-4976-bd64-637335737fd8,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1986,Igor Belanov,Soviet Union,Dynamo Kyiv,eb424286-832b-4604-a869-94fa49aa08a3,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1987,Ruud Gullit,Netherlands,AC Milan,0f39e526-2d7d-43a7-aa2b-737b0d35e4d0,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1988,Marco van Basten,Netherlands,AC Milan,13a1f8d1-24a8-4b8b-a449-210841e18de5,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1989,Marco van Basten,Netherlands,AC Milan,682e3adf-75d0-4233-b448-676bae1bef15,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1990,Lothar Matthäus,Germany,Inter Milan,2757e114-c759-417d-8d30-bf692fb1488c,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1991,Jean-Pierre Papin,France,Marseille,06517084-1adb-409c-88aa-23a6ae01eea6,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1992,Marco van Basten,Netherlands,AC Milan,9ed16466-66cb-48da-810b-9cf6419fa475,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1993,Roberto Baggio,Italy,Juventus,1d4e8068-1d5c-4fd9-9904-e9654cf4c28c,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1994,Hristo Stoichkov,Bulgaria,Barcelona,bbe81e08-dcb4-4b6e-9938-a48643aee66b,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1995,George Weah,Liberia,AC Milan,276dca90-7d74-42b3-86f7-8442a9575653,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1996,Matthias Sammer,Germany,Borussia Dortmund,c704dcba-ff67-4eeb-869c-6b60479970dc,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1997,Ronaldo Nazário,Brazil,Inter Milan,a837a606-aac7-4f59-ae8f-7fbad1454f0c,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1998,Zinedine Zidane,France,Juventus,aa3800bb-70ae-493d-a351-9522b057a08d,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
1999,Rivaldo,Brazil,Barcelona,1e48651b-df11-484d-84e5-31939fb34cd3,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2000,Luís Figo,Portugal,Real Madrid,b2da1e95-7073-499d-8d24-0ad708f96c7b,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2001,Michael Owen,England,Liverpool,f158bca9-5586-4e46-a54d-7bea41d8a0af,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2002,Ronaldo Nazário,Brazil,Real Madrid,ddc1e00e-726c-4ba2-b99b-966d6793632a,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2003,Pavel Nedvěd,Czechia,Juventus,86dcde31-bfc4-4103-9d40-a94d4b43bd8a,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2004,Andriy Shevchenko,Ukraine,AC Milan,eb56b66b-2c23-4f00-a07d-0d0fceba45fc,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2005,Ronaldinho,Brazil,Barcelona,48aa86ef-bbdf-45d7-aa8e-c46d30fcebb3,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2006,Fabio Cannavaro,Italy,Real Madrid,285b04bd-ce64-483f-9b8b-d946b0bd363a,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2007,Kaká,Brazil,AC Milan,b6ebbf11-ecab-481f-a418-afa645dfecef,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2008,Cristiano Ronaldo,Portugal,Manchester United,aa6b90ee-3136-4db0-93ba-1d411d9bdcc6,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2009,Lionel Messi,Argentina,Barcelona,a98cc6c6-c9c8-4cc8-92a8-f83179336215,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2010,Lionel Messi,Argentina,Barcelona,2d2125e2-60f8-4b85-aa83-0064a05170c1,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
2011,Lionel Messi,Argentina,Barcelona,de9a37fa-9f01-49fb-840b-048b8f937bae,2026-08-18T12:34:14.047405,ballon_dor_awards.xml,XML_BALLON,a16f1fb9-7fed-404b-b9ab-354715efcf97
